Neuron,Cell Class,Anatomical cell class (WW Barry),Final classification,Sensory type,"Processes in front part of the worm before NR (not any head bundles, all motor neurons from DNC or VNC that reach far but not bundle, only used in mid range network)",Processes in labial sensory receptor (VR),Processes in labial sensory receptor ( R),Processes in labial sensory receptor (DR),Processes in labial sensory receptor (VL),Processes in labial sensory receptor (L),Processes in labial sensory receptor (DL),Processes in anterior subventral cord (R ),Processes in anterior subventral cord (L),Processes in anterior subdorsal cord (R ),Processes in anterior subdorsal cord (L ),Processes in front part of the worm amphid commissure (not pharinx or nerve ring)(L),Processes in front part of the worm amphid commissure (not pharinx or nerve ring)(R),Processes in front part of the worm deirid commissure (not pharinx or nerve ring)(L),Processes in front part of the worm deirid commissure (not pharinx or nerve ring)(R),Processes in  nerve ring,Process in pharynx,Cell body in pharynx,Cell body in head (not ganglion),Cell body in anterior ganglion,Cell body in lateral ganglion,Cell body in dorsal ganglion,Cell body in ventral ganglion,Cell body in retrovesicular ganglion,Cell body Ventral cord,Cell body in worm body(middle),"Process in ventral sublaterals(L, not ventral cord)","Process in ventral sublaterals(R, not ventral cord)",Processes in anterior VNC (ventral ganglion and retrovesicular ganglion) ,Processes in ventral cord,Processes in canal associated (R ),Processes in canal associated (L),"Process in dorsal sublaterals(R, not dorsal cord)","Process in dorsal sublaterals(L, not dorsal cord)",Processes in dorsal cord,Cell body in lumbar ganglion,Cell body in dorsorectal ganglion,Cell body in preanal ganglion,Processes in tail tip bundle,Processes in tail preanal ganglion bundle (most tail processes go through this bundle),Processes from canal associated neurons in tail
'DVC',80,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
'PVNL',81,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
'PVNR',81,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
'PVPL',82,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
'PVPR',82,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
'PVQL',83,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
'PVQR',83,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
'PVR',84,Ventral cord interneurons,interneuron,none,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
'PVT',85,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
'PVWL',86,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
